"","Year","fmp_area","pred_dep","ave_dep"
"1",2020,"AI",3.84420617594063,5.08222537303301
"2",2021,"AI",6.36139743713509,5.08222537303301
"3",2022,"AI",5.04107250602332,5.08222537303301
"4",2020,"BS",27.4998205003508,17.9350997826931
"5",2021,"BS",11.4748073922556,17.9350997826931
"6",2022,"BS",14.8306714554729,17.9350997826931
"7",2020,"CG",40.9041015314593,19.7661680087078
"8",2021,"CG",12.1817295429074,19.7661680087078
"9",2022,"CG",6.21267295175668,19.7661680087078
"10",2020,"SE",117.468420215618,120.968409346187
"11",2021,"SE",165.411957297363,120.968409346187
"12",2022,"SE",80.0248505255806,120.968409346187
"13",2020,"WG",29.2466954240856,18.8486631767423
"14",2021,"WG",17.8241487459778,18.8486631767423
"15",2022,"WG",9.47514536016363,18.8486631767423
"16",2020,"WY",70.9592154538103,39.8649230158142
"17",2021,"WY",32.7387855800379,39.8649230158142
"18",2022,"WY",15.8967680135944,39.8649230158142
