"","Year","Catch","OFL","ABC","ACT"
"1",1980,"10,400","NA","NA","18,000"
"2",1981,"12,600","NA","NA","19,300"
"3",1982,"12,000","NA","NA","17,300"
"4",1983,"11,800","NA","NA","14,500"
"5",1984,"14,100","NA","NA","14,800"
"6",1985,"14,500","NA","NA","13,500"
"7",1986,"28,900","NA","NA","21,400"
"8",1987,"35,200","NA","NA","27,700"
"9",1988,"38,400","NA","44,200","36,400"
"10",1989,"34,800","NA","37,100","32,200"
"11",1990,"30,200","NA","33,400","33,200"
"12",1991,"26,400","NA","28,800","28,800"
"13",1992,"23,900","34,100","25,200","25,200"
"14",1993,"25,400","33,200","25,000","25,000"
"15",1994,"23,600","35,900","28,800","28,800"
"16",1995,"20,700","25,700","25,300","25,300"
"17",1996,"17,400","22,800","19,600","19,400"
"18",1997,"14,600","45,600","17,200","16,800"
"19",1998,"13,900","27,800","16,800","16,800"
"20",1999,"13,600","24,700","15,900","15,400"
"21",2000,"15,600","21,500","17,200","17,200"
"22",2001,"14,100","20,700","16,900","16,900"
"23",2002,"14,700","26,100","17,300","17,300"
"24",2003,"16,400","28,900","20,900","20,900"
"25",2004,"17,500","30,800","23,000","22,600"
"26",2005,"16,600","25,400","21,000","21,000"
"27",2006,"15,600","25,300","21,000","20,700"
"28",2007,"16,000","23,700","20,100","20,100"
"29",2008,"14,600","21,300","18,000","18,000"
"30",2009,"13,100","19,000","16,100","16,100"
"31",2010,"11,900","18,000","15,200","15,200"
"32",2011,"13,000","19,000","16,000","16,000"
"33",2012,"13,900","20,400","17,200","17,200"
"34",2013,"13,600","19,200","16,200","16,200"
"35",2014,"11,500","16,200","13,700","13,700"
"36",2015,"10,900","16,100","13,700","13,700"
"37",2016,"10,200","13,400","11,800","11,800"
"38",2017,"12,300","15,400","13,100","13,100"
"39",2018,"14,200","29,500","15,000","15,000"
"40",2019,"16,600","32,800","15,100","15,100"
"41",2020,"19,000","50,500","22,000","18,300"
"42",2021,"21,300","60,400","29,600","26,100"
"43",2022,"26,900","40,400","34,500","34,500"
"44",2023,"20,400","47,400","40,500","39,600"
